"","student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
"830",38001406,38000158,"TrentinoAA",219,1,0.3636,0.1091,-0.4789,7.9636,1,0,0,0,NA,-0.7273,-0.5116,-0.2683,3.33333333333333,3.33333333333333,0.633333333333333,-2.1154,-0.6723,-1.2691,0.7993,0,1,0,1,1,1,0,0,-0.7218,"No","No","Yes",9,-0.2781,-1.9301,-1.8389,440.23,464.853,450.128
"831",38001407,38000325,"0",591,1,0.7388,0.0735,1.1957,4.8245,1,0,0,0,NA,0.2162,1.1603,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,0.1927,NA,NA,NA,NA,NA,NA,0.1104,470.637,401.852,440.273
"832",38001408,38000488,"TrentinoAA",572,1,0.6535,0.5197,0.9807,9.0079,1,0,0,0,NA,-0.7039,-0.396,1.8837,3.33333333333333,3.33333333333333,0.983333333333333,0.5094,1.4193,-0.1651,-0.9024,1,1,0,0,1,1,1,0,1.1563,"Yes","Yes","No",5,0.3171,0.0125,NA,720.105,613.65,706.409
"833",38001412,38000122,"0",865,1,1,0.2957,-0.1073,15.0435,0,0,0,0,NA,1.0478,1.3347,-1.2142,5,5,0.416666666666667,-0.3793,0.3411,-0.4495,0.8425,0,0,1,0,1,1,0,1,1.1563,"Yes","Yes","Yes",16,-0.4725,-0.0948,-0.5704,500.316,598.823,525.591
"834",38001413,38000431,"TrentinoAA",279,1,0.3766,0.1948,1.1957,7.2468,1,0,0,0,NA,0.2737,1.2426,0.0039,3.33333333333333,3.33333333333333,1.16666666666667,0.5094,0.2719,-0.1651,-0.6871,1,0,1,0,1,1,0,1,-0.1108,"No","No","No",5,0.6642,1.7359,-0.0804,614.699,570.356,591.178
"835",38001414,38000137,"0",527,1,0.8986,0.0743,0.6298,7.1216,1,0,0,0,NA,-0.831,-0.0999,-0.5436,7,7,0.716666666666667,-1.0127,-0.3744,-0.1651,0.5209,1,1,0,1,1,1,1,1,-0.1108,"Yes","Yes","Yes",23,0.0267,0.3708,NA,347.216,315.772,289.786
"836",38001416,38000067,"Lombardia",943,1,0.942,0.3116,1.2496,13.6667,0,0,0,0,NA,2.1655,1.7157,0.0039,3.66666666666667,3.66666666666667,0.816666666666667,-0.3375,2.4511,-0.4849,-0.308,1,0,1,1,1,1,0,1,1.1563,"Yes","Yes","Yes",9,-0.4115,1.7359,-1.8389,542.996,513.011,489.049
"837",38001417,38000306,"Campania",1806,1,1,0.3308,NA,13.8923,0,0,0,1,NA,-0.4113,0.7946,0.2829,4,4,0.716666666666667,0.5094,0.9138,-0.61,0.2158,1,0,1,0,1,1,0,1,0.0321,"No","Yes","Yes",30,-0.1515,0.0125,-0.4195,603.746,622.038,634.128
"838",38001419,38000437,"0",916,1,0.9784,0.7229,2.4059,7.9307,1,0,0,0,NA,-1.6287,-0.842,-0.8747,3.66666666666667,30.25,0.383333333333333,0.1458,-0.8083,-0.6783,0.5348,0,0,1,NA,1,1,1,1,-1.4545,"No","No","No",15,-0.6334,-1.2276,0.7454,488.881,512.012,508.574
"839",38001422,38000020,"Lombardia",1630,1,0.8166,0.0688,0.8718,9.341,1,0,0,0,NA,-0.4343,-1.5546,-0.0405,4,6,0.716666666666667,-0.5781,0.5305,-0.1163,0.7153,0,0,0,1,1,1,1,1,1.1563,"No","No","Yes",33,-0.1144,0.3708,0.1104,462.354,426.16,418.466
"840",38001423,38000202,"TrentinoAA",908,1,0.8898,0.0276,-0.0467,7.1496,1,0,0,0,NA,0.7777,0.878,-2.4162,0.833333333333333,0,0.166666666666667,-0.8208,-0.3744,-0.4849,0.5209,0,0,1,1,1,1,1,1,1.1563,"No","Yes","No",NA,-0.0251,0.3708,-1.8389,456.866,434.532,355.429
"841",38001424,38000056,"Lombardia",662,1,1,0.1842,0.1652,8.7105,0,0,0,0,NA,-0.522,-0.2773,NA,2.75,3.66666666666667,0.383333333333333,NA,NA,-0.1651,1.7184,0,1,0,0,1,NA,NA,NA,1.1563,NA,NA,NA,NA,-0.0944,NA,0.7454,493.93,449.876,406.108
"842",38001425,38000272,"0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.6062,0.9879,-1.0322,2.5,3.33333333333333,0.35,-1.6934,-0.2052,-0.2111,0.3549,0,0,1,1,1,1,0,1,0.0321,"No","No","Yes",NA,0.6642,-0.0575,-1.8389,531.16,506.448,476.016
"843",38001426,38000017,"0",797,0.6111,0.814,0.1279,NA,9.2674,1,0,0,0,NA,-0.2818,0.4913,-2.4162,4.16666666666667,3.33333333333333,0.35,0.5094,-0.065,0.7921,-1.6189,1,0,1,1,0,1,0,0,1.1563,"Yes","No","Yes",30,0.7934,-0.494,0.7454,547.856,580.503,603.194
"844",38001429,38000017,"0",797,0.6111,0.814,0.1279,NA,9.2674,1,0,0,0,NA,-0.7039,-0.6572,-1.7293,4.16666666666667,4.16666666666667,0.5,0.5094,1.1029,0.9799,0.7993,1,0,0,0,1,1,0,0,1.1563,"Yes","No","Yes",20,0.3171,0.7648,-2.5352,623.14,436.358,490.14
"845",38001430,38000216,"Lombardia",323,1,0.7257,0.2301,-0.878,5.7168,1,0,0,0,NA,-0.356,-1.441,-1.1051,4,5,0.416666666666667,-2.1154,-1.6546,1.3961,1.0016,1,NA,NA,1,1,1,0,1,-0.7218,"No","Yes","Yes",5,-0.9281,0.0125,-0.5057,497.206,444.856,444.416
"846",38001431,38000087,"TrentinoAA",1000,1,0.5889,0.2778,0.8718,11.1111,0,0,0,0,NA,2.1655,1.3923,-1.0005,4.16666666666667,3.33333333333333,0.35,2.1635,0.6496,0.3377,-0.0345,0,0,1,0,1,0,0,0,1.1563,"No","No","Yes",61,-0.8427,0.0125,0.7454,542.489,565.691,570.205
"847",38001432,38000380,"0",1039,1,0.8274,0.5787,1.1957,10.5482,1,0,0,0,NA,-0.9969,0.4125,-0.5717,3.66666666666667,3.66666666666667,0.383333333333333,NA,NA,0.1609,-0.3108,1,1,0,1,1,NA,NA,NA,-0.1108,NA,NA,NA,17,0.5423,NA,0.7454,604.827,555.73,559.864
"848",38001433,38000201,"TrentinoAA",699,1,0.8,0.3103,0.2229,9.6414,0,0,0,0,NA,0.7777,1.4616,1.2422,2.5,3.33333333333333,0.5,-0.9981,0.438,-0.304,-0.3661,0,0,1,0,1,1,1,1,0.0321,"Yes","Yes","Yes",18,0.4638,-1.3403,0.7454,555.896,585.493,522.936
"849",38001435,38000295,"TrentinoAA",1100,1,0.7282,0.2864,0.617,10.6796,0,0,0,0,NA,-0.1523,0.3643,0.9383,4.16666666666667,3.33333333333333,0.5,0.3262,0.206,-0.5643,0.2594,1,1,0,0,1,1,0,1,-0.1108,"Yes","Yes","Yes",15,0.4906,-0.5555,0.7454,486.046,546.604,526.852
"850",38001436,38000446,"0",693,1,0.6879,0.0318,-0.9281,8.828,1,0,0,0,NA,-0.6174,-0.5857,-1.0005,3,4,0.416666666666667,-0.2121,0.5305,-0.1873,2.5493,1,1,0,0,1,1,1,1,-0.6172,"Yes","No","No",14,-3.1297,0.3708,-0.9094,329.711,330.594,323.32
"851",38001437,38000167,"0",714,1,1,0.3548,0.8718,15.3548,0,0,0,0,NA,2.1655,1.0009,0.0039,4.58333333333333,6.41666666666667,0.383333333333333,0.5094,0.5305,-0.1163,0.6007,1,0,1,0,1,0,1,1,0.0321,"Yes","Yes","No",50,-0.4838,1.0558,NA,502.905,448.566,465.748
