"student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
38005829,38000346,"Lombardia",465,1,0.9691,0.1959,0.7042,9.5876,0,0,0,0,41426,0.3744,0.0341,1.3185,3,4,0.416666666666667,NA,NA,0.4631,1.3538,0,1,0,1,1,NA,NA,NA,1.1563,NA,NA,NA,21,-0.2712,NA,0.7454,464.554,560.528,488.896
38005830,38000423,"0",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,34831,1.1015,0.9613,-0.2683,3,3,0.416666666666667,-0.1945,-0.5836,0.4631,-0.2729,0,0,1,0,1,1,0,0,-0.1108,0,0,1,5,0.0248,-1.2675,-0.9094,548.945,628.205,550.955
38005834,38000102,"TrentinoAA",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,34688,0.6093,0.3568,1.8837,2.5,3.33333333333333,0.35,0.5094,0.8104,-0.8771,1.1338,0,0,1,0,1,0,0,1,-0.1108,0,1,1,15,-0.505,0.3708,-1.8389,581.415,603.121,576.262
38005835,38000162,"0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,36687,-0.2107,-0.4706,0.5529,3,4,0.416666666666667,0.125,0.1393,-0.6653,0.7964,0,1,0,0,1,1,0,1,-0.1108,0,0,1,16,-0.7104,0.3708,0.7454,432.655,492.187,477.307
38005836,38000206,"Campania",1021,1,1,0.3425,-1.3581,11.2818,1,0,0,0,42115,0.7777,1.229,-0.5148,4,5,1.48333333333333,0.5674,0.4242,-1.2132,1.1059,1,0,1,1,1,1,1,1,-0.7026,0,0,1,50,-0.7583,1.0388,0.7454,460.287,520.815,529.703
38005840,38000423,"0",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,29649,-0.831,-1.5661,-1.0806,4,3,0.416666666666667,-2.1154,0.9214,-0.8771,1.1311,0,0,0,1,1,1,0,1,-0.5229,0,0,1,7,-0.1613,-0.494,0.7454,439.752,471.395,471.025
38005841,38000403,"0",982,1,0.9282,0.1148,0.6298,9.3971,0,0,0,0,38425,0.7777,-0.6237,0.6605,2.75,5.5,0.383333333333333,-0.1522,-0.2256,0.3377,1.0016,0,0,0,1,1,1,0,1,-0.1108,0,1,1,15,0.3171,-0.3035,0.7454,402.043,505.658,463.791
38005842,38000206,"Campania",1021,1,1,0.3425,-1.3581,11.2818,1,0,0,0,28568,-0.831,-0.612,-0.3513,NA,NA,NA,-2.1154,0.1042,-0.3263,1.5125,0,0,1,1,1,0,1,0,-0.1108,0,0,0,11,2.5915,1.1325,-0.015,340.86,363.474,355.532
38005843,38000292,"0",925,1,0.9162,0.0524,0.3622,9.6859,1,0,0,0,30918,-0.2818,-0.1554,0.8934,5,2,0.416666666666667,-0.3522,-0.0945,1.8543,1.7184,1,0,1,1,0,1,1,0,0.0321,1,0,1,20,0.7934,-0.2552,NA,569.928,531.14,563.932
38005847,38000272,"0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,37274,0.0768,-0.6557,0.4046,2.5,3.33333333333333,0.5,-2.1154,-0.7097,-0.4291,-0.6762,0,1,0,0,1,1,1,1,-1.0509,1,1,1,30,1.5611,0.1639,-0.0918,447.668,500.525,469.714
