"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","pv5math"
"319","319",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2438470950175
"320","320",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3930454171262
"321","321",0,0,0,0,488,0,1,0.9135,1,1.5106,1.2172,1.0434,1.8133,-0.2296,-0.782,0.5,3,1.2485,0.4652,0.9949,98.5,0.1878,1,1,6,1.5715,1.1019,4.9543,48.4491197164377
"322","322",0,0,1,0,118,0,0,1.3333,0.75,-1.3915,-0.5084,-3.9691,-1.3974,-0.6572,0.3615,1,5,-0.6703,-0.7903,0.625,20,0.2,0.5,3,5,-0.995,-1.2437,5.9,58.6849559411042
"323","323",0,0,0,0,1053,1,0,0.3509,1,-0.8067,-0.4435,-0.7967,-0.4247,1.4806,-0.6941,0.58,5,1.5141,1.4002,0.8742,75.5,0.1854,0.9286,2,5,-0.3334,0.5711,13.947,54.6297475281517
"324","324",0,1,0,0,375,0,0,0.1,0.1667,-0.2177,0.015,0.0201,0.1323,0.0554,-0.6941,0.58,6,-0.0295,0.5382,0.9024,41,0.1585,1,3,2,-0.3334,0.6925,9.1463,58.8984222035545
"325","325",0,0,0,0,124,0,1,1.0769,1,-0.4424,-0.3971,-0.4745,-0.2002,1.4806,-0.6061,0.67,6,0.068,0.7237,0.7568,18.5,0.1351,0.6,1,2,1.148,1.0383,6.7027,42.4815703120496
"326","326",1,0,0,0,1280,0,0,0.28,1,-0.303,-0.8669,-0.1449,0.3642,0.0554,-0.6941,0.58,6,0.2467,0.7106,1,85,0.3176,1,1,4,0.5094,1.347,15.0588,50.8180181336368
"327","327",0,1,0,0,465,0,0,0.2119,1,2.3666,2.9951,1.142,0.7618,0.0554,-0.782,0.67,4,-0.5885,0.337,0.9691,48.5,0.1959,1,2,4,-0.6684,0.7042,9.5876,50.8651066550319
"328","328",0,0,0,0,52,0,1,1.1765,1,-0.752,-0.3971,-0.8852,-0.2002,0.3405,-0.5533,0.67,1,0.3922,0.9946,0.7368,9.5,0.4737,0.8889,0,4,0.3058,0.6298,5.4737,45.8364680948782
